,Y,Text
0,DESC:manner,How did serfdom develop in and then leave Russia ? 
1,ENTY:cremat,What films featured the character Popeye Doyle ?   
2,DESC:manner,How can I find a list of celebrities ' real 
3,ENTY:animal,What fowl grabs the spotlight after the Chinese Year of 
4,ABBR:exp,What is the full form of .com ?   
5,HUM:ind,What contemptible scoundrel stole the cork from my lunch ? 
6,HUM:gr,What team did baseball 's St. Louis Browns become ? 
7,HUM:title,What is the oldest profession ?     
8,DESC:def,What are liver enzymes ?      
9,HUM:ind,Name the scar-faced bounty hunter of The Old West . 
10,NUM:date,When was Ozzy Osbourne born ?     
11,DESC:reason,Why do heavier objects travel downhill faster ?   
12,HUM:ind,Who was The Pride of the Yankees ?   
13,HUM:ind,Who killed Gandhi ?       
14,ENTY:event,What is considered the costliest disaster the insurance industry has 
15,LOC:state,What sprawling U.S. state boasts the most airports ?  
16,DESC:desc,What did the only repealed amendment to the U.S. Constitution 
17,NUM:count,How many Jews were executed in concentration camps during WWII 
18,DESC:def,What is `` Nine Inch Nails '' ?   
19,DESC:def,What is an annotated bibliography ?     
20,NUM:date,What is the date of Boxing Day ?   
21,ENTY:other,What articles of clothing are tokens in Monopoly ?  
22,HUM:ind,Name 11 famous martyrs .      
23,DESC:desc,What 's the Olympic motto ?     
24,DESC:desc,What is the origin of the name ` Scarlett ' 
25,ENTY:letter,What 's the second-most-used vowel in English ?   
26,HUM:ind,Who was the inventor of silly putty ?   
27,LOC:other,What is the highest waterfall in the United States ? 
28,ENTY:other,Name a golf course in Myrtle Beach .   
29,LOC:state,Which two states enclose Chesapeake Bay ?    
30,ABBR:exp,What does the abbreviation AIDS stand for ?   
31,ENTY:other,What does a spermologer collect ?     
32,NUM:count,How many points make up a perfect fivepin bowling score 
33,HUM:gr,Which company that manufactures video-game hardware sells the `` super 
34,NUM:count,How many Community Chest cards are there in Monopoly ? 
35,DESC:desc,What do Mormons believe ?      
36,NUM:date,When did the neanderthal man live ?    
37,ENTY:religion,In what religion was Isis the nature goddess ?  
38,LOC:other,Where do the adventures of `` The Swiss Family Robinson 
39,ENTY:animal,What relative of the racoon is sometimes known as the 
40,DESC:manner,How can I register my website in Yahoo for free 
41,ENTY:other,What was cash-conscious Colonel Edwin L. Drake the first to 
42,NUM:count,How many people in the world speak French ?  
43,NUM:count,How many inches over six feet is the Venus de 
44,DESC:manner,How do they find or choose witnesses to an execution 
45,HUM:ind,What 1920s cowboy star rode Tony the Wonder Horse ? 
46,ENTY:food,What cocktail inspired John Doxat to write the book Stirred-Not 
47,HUM:gr,What ISPs exist in the Caribbean ?    
48,DESC:manner,How do you ask a total stranger out on a 
49,ENTY:other,What weapon is the mythological character Apollo most proficient with 
